country,iso_code,Wealth,year,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,eduyears_2024_m,edu2_2024_m,edu4_2024_m,eduout_prim_m,eduout_lowsec_m,eduout_upsec_m,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,edu0_prim_m,trans_prim_m,trans_lowsec_m,attend_higher_1822_m,overage2plus_m
Guinea-Bissau,GNB,Quintile 4,2000,0.2403,0.0786,0.0423,,0.017681818,0.148836364,,,,145.8181818,145.8181818,145.8181818,,,,,,,,
Guinea-Bissau,GNB,Quintile 5,2000,0.4218,0.1836,0.1267,,0.008088889,0.056033333,,,,453.3333333,453.3333333,453.3333333,,,,,,,,
Guyana,GUY,Quintile 1,2000,0.9208,0.5237,0.2245,,0,0.037215,,,,131.55,131.55,131.55,,,,,,,,
Guyana,GUY,Quintile 2,2000,0.9502,0.7885,0.2646,,0.006784615,0.051130769,,,,109.0769231,109.0769231,109.0769231,,,,,,,,
Guyana,GUY,Quintile 3,2000,0.945,0.7379,0.3726,,0.013823077,0.027730769,,,,116.6923077,116.6923077,116.6923077,,,,,,,,
Guyana,GUY,Quintile 4,2000,0.9992,0.8518,0.5584,,0.003693333,0.013173333,,,,118.1333333,118.1333333,118.1333333,,,,,,,,
Guyana,GUY,Quintile 5,2000,0.9953,0.9454,0.6697,,0,0.002692308,,,,108.5384615,108.5384615,108.5384615,,,,,,,,
Hungary,HUN,Quintile 1,2000,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,Quintile 2,2000,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,Quintile 3,2000,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,Quintile 4,2000,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,Quintile 5,2000,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,Quintile 1,2000,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,Quintile 2,2000,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,Quintile 3,2000,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,Quintile 4,2000,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,Quintile 5,2000,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,Quintile 1,2000,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,Quintile 2,2000,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,Quintile 3,2000,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,Quintile 4,2000,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,Quintile 5,2000,,,,,,,,,,,,,,,,,,,,
Iraq,IRQ,Quintile 1,2000,0.3147,0.0746,0.0507,,0.01306,0.096052,,,,213.1,213.1,213.1,,,,,,,,
Iraq,IRQ,Quintile 2,2000,0.4847,0.1977,0.1252,,0.014310204,0.084938776,,,,209,209,209,,,,,,,,
Iraq,IRQ,Quintile 3,2000,0.567,0.2372,0.165,,0.010820513,0.065748718,,,,278.4615385,278.4615385,278.4615385,,,,,,,,
Iraq,IRQ,Quintile 4,2000,0.7215,0.3684,0.2421,,0.001746667,0.034896667,,,,301,301,301,,,,,,,,
Iraq,IRQ,Quintile 5,2000,0.7362,0.4505,0.3113,,0.006403333,0.04236,,,,254.7666667,254.7666667,254.7666667,,,,,,,,
Ireland,IRL,Quintile 1,2000,,,,,,,,,,,,,,,,,,,,
